State,StateFIPS,CountyFIPS,County
AL,1,1,Autauga County
AL,1,3,Baldwin County
AL,1,5,Barbour County
AL,1,7,Bibb County
AL,1,9,Blount County
AL,1,11,Bullock County
AL,1,13,Butler County
AL,1,15,Calhoun County
AL,1,17,Chambers County
AL,1,19,Cherokee County
AL,1,21,Chilton County
AL,1,23,Choctaw County
AL,1,25,Clarke County
AL,1,27,Clay County
AL,1,29,Cleburne County
AL,1,31,Coffee County
AL,1,33,Colbert County
AL,1,35,Conecuh County
AL,1,37,Coosa County
AL,1,39,Covington County
AL,1,41,Crenshaw County
AL,1,43,Cullman County
AL,1,45,Dale County
AL,1,47,Dallas County
AL,1,49,DeKalb County
AL,1,51,Elmore County
AL,1,53,Escambia County
AL,1,55,Etowah County
AL,1,57,Fayette County
AL,1,59,Franklin County
AL,1,61,Geneva County
AL,1,63,Greene County
AL,1,65,Hale County
AL,1,67,Henry County
AL,1,69,Houston County
AL,1,71,Jackson County
AL,1,73,Jefferson County
AL,1,75,Lamar County
AL,1,77,Lauderdale County
AL,1,79,Lawrence County
AL,1,81,Lee County
AL,1,83,Limestone County
AL,1,85,Lowndes County
AL,1,87,Macon County
AL,1,89,Madison County
AL,1,91,Marengo County
AL,1,93,Marion County
AL,1,95,Marshall County
AL,1,97,Mobile County
AL,1,99,Monroe County
AL,1,101,Montgomery County
AL,1,103,Morgan County
AL,1,105,Perry County
AL,1,107,Pickens County
AL,1,109,Pike County
AL,1,111,Randolph County
AL,1,113,Russell County
AL,1,115,St. Clair County
AL,1,117,Shelby County
AL,1,119,Sumter County
AL,1,121,Talladega County
AL,1,123,Tallapoosa County
AL,1,125,Tuscaloosa County
AL,1,127,Walker County
AL,1,129,Washington County
AL,1,131,Wilcox County
AL,1,133,Winston County
AZ,4,1,Apache County
AZ,4,3,Cochise County
AZ,4,5,Coconino County
AZ,4,7,Gila County
AZ,4,9,Graham County
AZ,4,11,Greenlee County
AZ,4,12,La Paz County
AZ,4,13,Maricopa County
AZ,4,15,Mohave County
AZ,4,17,Navajo County
AZ,4,19,Pima County
AZ,4,21,Pinal County
AZ,4,23,Santa Cruz County
AZ,4,25,Yavapai County
AZ,4,27,Yuma County
AR,5,1,Arkansas County
AR,5,3,Ashley County
AR,5,5,Baxter County
AR,5,7,Benton County
AR,5,9,Boone County
AR,5,11,Bradley County
AR,5,13,Calhoun County
AR,5,15,Carroll County
AR,5,17,Chicot County
AR,5,19,Clark County
AR,5,21,Clay County
AR,5,23,Cleburne County
AR,5,25,Cleveland County
AR,5,27,Columbia County
AR,5,29,Conway County
AR,5,31,Craighead County
AR,5,33,Crawford County
AR,5,35,Crittenden County
AR,5,37,Cross County
AR,5,39,Dallas County
AR,5,41,Desha County
AR,5,43,Drew County
AR,5,45,Faulkner County
AR,5,47,Franklin County
AR,5,49,Fulton County
AR,5,51,Garland County
AR,5,53,Grant County
AR,5,55,Greene County
AR,5,57,Hempstead County
AR,5,59,Hot Spring County
AR,5,61,Howard County
AR,5,63,Independence County
AR,5,65,Izard County
AR,5,67,Jackson County
AR,5,69,Jefferson County
AR,5,71,Johnson County
AR,5,73,Lafayette County
AR,5,75,Lawrence County
AR,5,77,Lee County
AR,5,79,Lincoln County
AR,5,81,Little River County
AR,5,83,Logan County
AR,5,85,Lonoke County
AR,5,87,Madison County
AR,5,89,Marion County
AR,5,91,Miller County
AR,5,93,Mississippi County
AR,5,95,Monroe County
AR,5,97,Montgomery County
AR,5,99,Nevada County
AR,5,101,Newton County
AR,5,103,Ouachita County
AR,5,105,Perry County
AR,5,107,Phillips County
AR,5,109,Pike County
AR,5,111,Poinsett County
AR,5,113,Polk County
AR,5,115,Pope County
AR,5,117,Prairie County
AR,5,119,Pulaski County
AR,5,121,Randolph County
AR,5,123,St. Francis County
AR,5,125,Saline County
AR,5,127,Scott County
AR,5,129,Searcy County
AR,5,131,Sebastian County
AR,5,133,Sevier County
AR,5,135,Sharp County
AR,5,137,Stone County
AR,5,139,Union County
AR,5,141,Van Buren County
AR,5,143,Washington County
AR,5,145,White County
AR,5,147,Woodruff County
AR,5,149,Yell County
CA,6,1,Alameda County
CA,6,3,Alpine County
CA,6,5,Amador County
CA,6,7,Butte County
CA,6,9,Calaveras County
CA,6,11,Colusa County
CA,6,13,Contra Costa County
CA,6,15,Del Norte County
CA,6,17,El Dorado County
CA,6,19,Fresno County
CA,6,21,Glenn County
CA,6,23,Humboldt County
CA,6,25,Imperial County
CA,6,27,Inyo County
CA,6,29,Kern County
CA,6,31,Kings County
CA,6,33,Lake County
CA,6,35,Lassen County
CA,6,37,Los Angeles County
CA,6,39,Madera County
CA,6,41,Marin County
CA,6,43,Mariposa County
CA,6,45,Mendocino County
CA,6,47,Merced County
CA,6,49,Modoc County
CA,6,51,Mono County
CA,6,53,Monterey County
CA,6,55,Napa County
CA,6,57,Nevada County
CA,6,59,Orange County
CA,6,61,Placer County
CA,6,63,Plumas County
CA,6,65,Riverside County
CA,6,67,Sacramento County
CA,6,69,San Benito County
CA,6,71,San Bernardino County
CA,6,73,San Diego County
CA,6,75,San Francisco County
CA,6,77,San Joaquin County
CA,6,79,San Luis Obispo County
CA,6,81,San Mateo County
CA,6,83,Santa Barbara County
CA,6,85,Santa Clara County
CA,6,87,Santa Cruz County
CA,6,89,Shasta County
CA,6,91,Sierra County
CA,6,93,Siskiyou County
CA,6,95,Solano County
CA,6,97,Sonoma County
CA,6,99,Stanislaus County
CA,6,101,Sutter County
CA,6,103,Tehama County
CA,6,105,Trinity County
CA,6,107,Tulare County
CA,6,109,Tuolumne County
CA,6,111,Ventura County
CA,6,113,Yolo County
CA,6,115,Yuba County
CO,8,1,Adams County
CO,8,3,Alamosa County
CO,8,5,Arapahoe County
CO,8,7,Archuleta County
CO,8,9,Baca County
CO,8,11,Bent County
CO,8,13,Boulder County
CO,8,14,Broomfield County
CO,8,15,Chaffee County
CO,8,17,Cheyenne County
CO,8,19,Clear Creek County
CO,8,21,Conejos County
CO,8,23,Costilla County
CO,8,25,Crowley County
CO,8,27,Custer County
CO,8,29,Delta County
CO,8,31,Denver County
CO,8,33,Dolores County
CO,8,35,Douglas County
CO,8,37,Eagle County
CO,8,39,Elbert County
CO,8,41,El Paso County
CO,8,43,Fremont County
CO,8,45,Garfield County
CO,8,47,Gilpin County
CO,8,49,Grand County
CO,8,51,Gunnison County
CO,8,53,Hinsdale County
CO,8,55,Huerfano County
CO,8,57,Jackson County
CO,8,59,Jefferson County
CO,8,61,Kiowa County
CO,8,63,Kit Carson County
CO,8,65,Lake County
CO,8,67,La Plata County
CO,8,69,Larimer County
CO,8,71,Las Animas County
CO,8,73,Lincoln County
CO,8,75,Logan County
CO,8,77,Mesa County
CO,8,79,Mineral County
CO,8,81,Moffat County
CO,8,83,Montezuma County
CO,8,85,Montrose County
CO,8,87,Morgan County
CO,8,89,Otero County
CO,8,91,Ouray County
CO,8,93,Park County
CO,8,95,Phillips County
CO,8,97,Pitkin County
CO,8,99,Prowers County
CO,8,101,Pueblo County
CO,8,103,Rio Blanco County
CO,8,105,Rio Grande County
CO,8,107,Routt County
CO,8,109,Saguache County
CO,8,111,San Juan County
CO,8,113,San Miguel County
CO,8,115,Sedgwick County
CO,8,117,Summit County
CO,8,119,Teller County
CO,8,121,Washington County
CO,8,123,Weld County
CO,8,125,Yuma County
CT,9,1,Fairfield County
CT,9,3,Hartford County
CT,9,5,Litchfield County
CT,9,7,Middlesex County
CT,9,9,New Haven County
CT,9,11,New London County
CT,9,13,Tolland County
CT,9,15,Windham County
DE,10,1,Kent County
DE,10,3,New Castle County
DE,10,5,Sussex County
DC,11,1,District of Columbia
FL,12,1,Alachua County
FL,12,3,Baker County
FL,12,5,Bay County
FL,12,7,Bradford County
FL,12,9,Brevard County
FL,12,11,Broward County
FL,12,13,Calhoun County
FL,12,15,Charlotte County
FL,12,17,Citrus County
FL,12,19,Clay County
FL,12,21,Collier County
FL,12,23,Columbia County
FL,12,27,DeSoto County
FL,12,29,Dixie County
FL,12,31,Duval County
FL,12,33,Escambia County
FL,12,35,Flagler County
FL,12,37,Franklin County
FL,12,39,Gadsden County
FL,12,41,Gilchrist County
FL,12,43,Glades County
FL,12,45,Gulf County
FL,12,47,Hamilton County
FL,12,49,Hardee County
FL,12,51,Hendry County
FL,12,53,Hernando County
FL,12,55,Highlands County
FL,12,57,Hillsborough County
FL,12,59,Holmes County
FL,12,61,Indian River County
FL,12,63,Jackson County
FL,12,65,Jefferson County
FL,12,67,Lafayette County
FL,12,69,Lake County
FL,12,71,Lee County
FL,12,73,Leon County
FL,12,75,Levy County
FL,12,77,Liberty County
FL,12,79,Madison County
FL,12,81,Manatee County
FL,12,83,Marion County
FL,12,85,Martin County
FL,12,86,Miami-Dade County
FL,12,87,Monroe County
FL,12,89,Nassau County
FL,12,91,Okaloosa County
FL,12,93,Okeechobee County
FL,12,95,Orange County
FL,12,97,Osceola County
FL,12,99,Palm Beach County
FL,12,101,Pasco County
FL,12,103,Pinellas County
FL,12,105,Polk County
FL,12,107,Putnam County
FL,12,109,St. Johns County
FL,12,111,St. Lucie County
FL,12,113,Santa Rosa County
FL,12,115,Sarasota County
FL,12,117,Seminole County
FL,12,119,Sumter County
FL,12,121,Suwannee County
FL,12,123,Taylor County
FL,12,125,Union County
FL,12,127,Volusia County
FL,12,129,Wakulla County
FL,12,131,Walton County
FL,12,133,Washington County
GA,13,1,Appling County
GA,13,3,Atkinson County
GA,13,5,Bacon County
GA,13,7,Baker County
GA,13,9,Baldwin County
GA,13,11,Banks County
GA,13,13,Barrow County
GA,13,15,Bartow County
GA,13,17,Ben Hill County
GA,13,19,Berrien County
GA,13,21,Bibb County
GA,13,23,Bleckley County
GA,13,25,Brantley County
GA,13,27,Brooks County
GA,13,29,Bryan County
GA,13,31,Bulloch County
GA,13,33,Burke County
GA,13,35,Butts County
GA,13,37,Calhoun County
GA,13,39,Camden County
GA,13,43,Candler County
GA,13,45,Carroll County
GA,13,47,Catoosa County
GA,13,49,Charlton County
GA,13,51,Chatham County
GA,13,53,Chattahoochee County
GA,13,55,Chattooga County
GA,13,57,Cherokee County
GA,13,59,Clarke County
GA,13,61,Clay County
GA,13,63,Clayton County
GA,13,65,Clinch County
