from_id,to_id
midwest,IA
midwest,IN
midwest,IL
midwest,KS
midwest,MI
midwest,MN
midwest,MO
midwest,NE
midwest,ND
midwest,OH
midwest,SD
midwest,WI
northeast,CT
northeast,ME
northeast,MA
northeast,NH
northeast,NJ
northeast,NY
northeast,PA
northeast,RI
northeast,VT
south,AL
south,AR
south,DE
south,DC
south,FL
south,GA
south,KY
south,LA
south,MD
south,MS
south,NC
south,OK
south,SC
south,TN
south,TX
south,VA
south,WV
west,AK
west,AZ
west,CA
west,CO
west,HI
west,ID
west,NM
west,MT
west,NV
west,OR
west,UT
west,WA
west,WY
