id,name,fuel_id,units
fans,Fans,electricity,kWh
pumps,Pumps,electricity,kWh
heating,Space Heating,electricity,kWh
heating,Space Heating,gas,kBtu
cooling,Space Cooling,electricity,kWh
interior_lights,Interior Lights,electricity,kWh
exterior_lights,Exterior Lights,electricity,kWh
water_systems,Water Systems,electricity,kWh
water_systems,Water Systems,gas,kBtu
interior_equipment,Interior Equipment,electricity,kWh
interior_equipment,Interior Equipment,gas,kBtu
district_cooling,District Cooling,gas,kBtu
district_heating,District Heating,gas,kBtu
heat_rejection,Heat Rejection,electricity,kWh
