from_id,to_id
01001,AL
01003,AL
01005,AL
01007,AL
01009,AL
01011,AL
01013,AL
01015,AL
01017,AL
01019,AL
01021,AL
01023,AL
01025,AL
01027,AL
01029,AL
01031,AL
01033,AL
01035,AL
01037,AL
01039,AL
01041,AL
01043,AL
01045,AL
01047,AL
01049,AL
01051,AL
01053,AL
01055,AL
01057,AL
01059,AL
01061,AL
01063,AL
01065,AL
01067,AL
01069,AL
01071,AL
01073,AL
01075,AL
01077,AL
01079,AL
01081,AL
01083,AL
01085,AL
01087,AL
01089,AL
01091,AL
01093,AL
01095,AL
01097,AL
01099,AL
01101,AL
01103,AL
01105,AL
01107,AL
01109,AL
01111,AL
01113,AL
01115,AL
01117,AL
01119,AL
01121,AL
01123,AL
01125,AL
01127,AL
01129,AL
01131,AL
01133,AL
04001,AZ
04003,AZ
04005,AZ
04007,AZ
04009,AZ
04011,AZ
04012,AZ
04013,AZ
04015,AZ
04017,AZ
04019,AZ
04021,AZ
04023,AZ
04025,AZ
04027,AZ
05001,AR
05003,AR
05005,AR
05007,AR
05009,AR
05011,AR
05013,AR
05015,AR
05017,AR
05019,AR
05021,AR
05023,AR
05025,AR
05027,AR
05029,AR
05031,AR
05033,AR
05035,AR
05037,AR
05039,AR
05041,AR
05043,AR
05045,AR
05047,AR
05049,AR
05051,AR
05053,AR
05055,AR
05057,AR
05059,AR
05061,AR
05063,AR
05065,AR
05067,AR
05069,AR
05071,AR
05073,AR
05075,AR
05077,AR
05079,AR
05081,AR
05083,AR
05085,AR
05087,AR
05089,AR
05091,AR
05093,AR
05095,AR
05097,AR
05099,AR
05101,AR
05103,AR
05105,AR
05107,AR
05109,AR
05111,AR
05113,AR
05115,AR
05117,AR
05119,AR
05121,AR
05123,AR
05125,AR
05127,AR
05129,AR
05131,AR
05133,AR
05135,AR
05137,AR
05139,AR
05141,AR
05143,AR
05145,AR
05147,AR
05149,AR
06001,CA
06003,CA
06005,CA
06007,CA
06009,CA
06011,CA
06013,CA
06015,CA
06017,CA
06019,CA
06021,CA
06023,CA
06025,CA
06027,CA
06029,CA
06031,CA
06033,CA
06035,CA
06037,CA
06039,CA
06041,CA
06043,CA
06045,CA
06047,CA
06049,CA
06051,CA
06053,CA
06055,CA
06057,CA
06059,CA
06061,CA
06063,CA
06065,CA
06067,CA
06069,CA
06071,CA
06073,CA
06075,CA
06077,CA
06079,CA
06081,CA
06083,CA
06085,CA
06087,CA
06089,CA
06091,CA
06093,CA
06095,CA
06097,CA
06099,CA
06101,CA
06103,CA
06105,CA
06107,CA
06109,CA
06111,CA
06113,CA
06115,CA
08001,CO
08003,CO
08005,CO
08007,CO
08009,CO
08011,CO
08013,CO
08014,CO
08015,CO
08017,CO
08019,CO
08021,CO
08023,CO
08025,CO
08027,CO
08029,CO
08031,CO
08033,CO
08035,CO
08037,CO
08039,CO
08041,CO
08043,CO
08045,CO
08047,CO
08049,CO
08051,CO
08053,CO
08055,CO
08057,CO
08059,CO
08061,CO
08063,CO
08065,CO
08067,CO
08069,CO
08071,CO
08073,CO
08075,CO
08077,CO
08079,CO
08081,CO
08083,CO
08085,CO
08087,CO
08089,CO
08091,CO
08093,CO
08095,CO
08097,CO
08099,CO
08101,CO
08103,CO
08105,CO
08107,CO
08109,CO
08111,CO
08113,CO
08115,CO
08117,CO
08119,CO
08121,CO
08123,CO
08125,CO
09001,CT
09003,CT
09005,CT
09007,CT
09009,CT
09011,CT
09013,CT
09015,CT
10001,DE
10003,DE
10005,DE
11001,DC
12001,FL
12003,FL
12005,FL
12007,FL
12009,FL
12011,FL
12013,FL
12015,FL
12017,FL
12019,FL
12021,FL
12023,FL
12027,FL
12029,FL
12031,FL
12033,FL
12035,FL
12037,FL
12039,FL
12041,FL
12043,FL
12045,FL
12047,FL
12049,FL
12051,FL
12053,FL
12055,FL
12057,FL
12059,FL
12061,FL
12063,FL
12065,FL
12067,FL
12069,FL
12071,FL
12073,FL
12075,FL
12077,FL
12079,FL
12081,FL
12083,FL
12085,FL
12086,FL
12087,FL
12089,FL
12091,FL
12093,FL
12095,FL
12097,FL
12099,FL
12101,FL
12103,FL
12105,FL
12107,FL
12109,FL
12111,FL
12113,FL
12115,FL
12117,FL
12119,FL
12121,FL
12123,FL
12125,FL
12127,FL
12129,FL
12131,FL
12133,FL
13001,GA
13003,GA
13005,GA
13007,GA
13009,GA
13011,GA
13013,GA
13015,GA
13017,GA
13019,GA
13021,GA
13023,GA
13025,GA
13027,GA
13029,GA
13031,GA
13033,GA
13035,GA
13037,GA
13039,GA
13043,GA
13045,GA
13047,GA
13049,GA
13051,GA
13053,GA
13055,GA
13057,GA
13059,GA
13061,GA
13063,GA
13065,GA
13067,GA
13069,GA
