from_id,to_id
01001,CST
01003,CST
01005,CST
01007,CST
01009,CST
01011,CST
01013,CST
01015,CST
01017,CST
01019,CST
01021,CST
01023,CST
01025,CST
01027,CST
01029,CST
01031,CST
01033,CST
01035,CST
01037,CST
01039,CST
01041,CST
01043,CST
01045,CST
01047,CST
01049,CST
01051,CST
01053,CST
01055,CST
01057,CST
01059,CST
01061,CST
01063,CST
01065,CST
01067,CST
01069,CST
01071,CST
01073,CST
01075,CST
01077,CST
01079,CST
01081,CST
01083,CST
01085,CST
01087,CST
01089,CST
01091,CST
01093,CST
01095,CST
01097,CST
01099,CST
01101,CST
01103,CST
01105,CST
01107,CST
01109,CST
01111,CST
01113,CST
01115,CST
01117,CST
01119,CST
01121,CST
01123,CST
01125,CST
01127,CST
01129,CST
01131,CST
01133,CST
02013,AKST
02016,AKST
02020,AKST
02050,AKST
02060,AKST
02068,AKST
02070,AKST
02090,AKST
02100,AKST
02105,AKST
02110,AKST
02122,AKST
02130,AKST
02150,AKST
02164,AKST
02170,AKST
02180,AKST
02185,AKST
02188,AKST
02195,AKST
02198,AKST
02220,AKST
02230,AKST
02240,AKST
02261,AKST
02270,AKST
02275,AKST
02282,AKST
02290,AKST
04001,MST-AZ
04003,MST-AZ
04005,MST-AZ
04007,MST-AZ
04009,MST-AZ
04011,MST-AZ
04012,MST-AZ
04013,MST-AZ
04015,MST-AZ
04017,MST-AZ
04019,MST-AZ
04021,MST-AZ
04023,MST-AZ
04025,MST-AZ
04027,MST-AZ
05001,CST
05003,CST
05005,CST
05007,CST
05009,CST
05011,CST
05013,CST
05015,CST
05017,CST
05019,CST
05021,CST
05023,CST
05025,CST
05027,CST
05029,CST
05031,CST
05033,CST
05035,CST
05037,CST
05039,CST
05041,CST
05043,CST
05045,CST
05047,CST
05049,CST
05051,CST
05053,CST
05055,CST
05057,CST
05059,CST
05061,CST
05063,CST
05065,CST
05067,CST
05069,CST
05071,CST
05073,CST
05075,CST
05077,CST
05079,CST
05081,CST
05083,CST
05085,CST
05087,CST
05089,CST
05091,CST
05093,CST
05095,CST
05097,CST
05099,CST
05101,CST
05103,CST
05105,CST
05107,CST
05109,CST
05111,CST
05113,CST
05115,CST
05117,CST
05119,CST
05121,CST
05123,CST
05125,CST
05127,CST
05129,CST
05131,CST
05133,CST
05135,CST
05137,CST
05139,CST
05141,CST
05143,CST
05145,CST
05147,CST
05149,CST
06001,PST
06003,PST
06005,PST
06007,PST
06009,PST
06011,PST
06013,PST
06015,PST
06017,PST
06019,PST
06021,PST
06023,PST
06025,PST
06027,PST
06029,PST
06031,PST
06033,PST
06035,PST
06037,PST
06039,PST
06041,PST
06043,PST
06045,PST
06047,PST
06049,PST
06051,PST
06053,PST
06055,PST
06057,PST
06059,PST
06061,PST
06063,PST
06065,PST
06067,PST
06069,PST
06071,PST
06073,PST
06075,PST
06077,PST
06079,PST
06081,PST
06083,PST
06085,PST
06087,PST
06089,PST
06091,PST
06093,PST
06095,PST
06097,PST
06099,PST
06101,PST
06103,PST
06105,PST
06107,PST
06109,PST
06111,PST
06113,PST
06115,PST
08001,MST
08003,MST
08005,MST
08007,MST
08009,MST
08011,MST
08013,MST
08014,MST
08015,MST
08017,MST
08019,MST
08021,MST
08023,MST
08025,MST
08027,MST
08029,MST
08031,MST
08033,MST
08035,MST
08037,MST
08039,MST
08041,MST
08043,MST
08045,MST
08047,MST
08049,MST
08051,MST
08053,MST
08055,MST
08057,MST
08059,MST
08061,MST
08063,MST
08065,MST
08067,MST
08069,MST
08071,MST
08073,MST
08075,MST
08077,MST
08079,MST
08081,MST
08083,MST
08085,MST
08087,MST
08089,MST
08091,MST
08093,MST
08095,MST
08097,MST
08099,MST
08101,MST
08103,MST
08105,MST
08107,MST
08109,MST
08111,MST
08113,MST
08115,MST
08117,MST
08119,MST
08121,MST
08123,MST
08125,MST
09001,EST
09003,EST
09005,EST
09007,EST
09009,EST
09011,EST
09013,EST
09015,EST
10001,EST
10003,EST
10005,EST
11001,EST
12001,EST
12003,EST
12005,CST
12007,EST
12009,EST
12011,EST
12013,CST
12015,EST
12017,EST
12019,EST
12021,EST
12023,EST
12027,EST
12029,EST
12031,EST
12033,CST
12035,EST
12037,EST
12039,EST
12041,EST
12043,EST
12045,CST
12047,EST
12049,EST
12051,EST
12053,EST
12055,EST
12057,EST
12059,CST
12061,EST
12063,CST
12065,EST
12067,EST
12069,EST
12071,EST
12073,EST
12075,EST
12077,EST
12079,EST
12081,EST
12083,EST
12085,EST
12086,EST
12087,EST
12089,EST
12091,CST
12093,EST
12095,EST
12097,EST
12099,EST
12101,EST
12103,EST
12105,EST
12107,EST
12109,EST
12111,EST
12113,CST
12115,EST
12117,EST
12119,EST
12121,EST
12123,EST
12125,EST
12127,EST
12129,EST
12131,CST
12133,CST
13001,EST
13003,EST
13005,EST
13007,EST
13009,EST
13011,EST
13013,EST
13015,EST
13017,EST
13019,EST
13021,EST
13023,EST
13025,EST
13027,EST
13029,EST
13031,EST
13033,EST
13035,EST
13037,EST
13039,EST
13043,EST
13045,EST
13047,EST
13049,EST
13051,EST
13053,EST
13055,EST
13057,EST
13059,EST
13061,EST
13063,EST
13065,EST
13067,EST
13069,EST
13071,EST
13073,EST
13075,EST
13077,EST
13079,EST
13081,EST
13083,EST
13085,EST
13087,EST
13089,EST
13091,EST
13093,EST
13095,EST
13097,EST
13099,EST
13101,EST
13103,EST
13105,EST
13107,EST
13109,EST
13111,EST
13113,EST
13115,EST
13117,EST
13119,EST
13121,EST
13123,EST
13125,EST
13127,EST
13129,EST
13131,EST
13133,EST
13135,EST
13137,EST
13139,EST
13141,EST
13143,EST
13145,EST
13147,EST
13149,EST
13151,EST
13153,EST
13155,EST
13157,EST
13159,EST
13161,EST
13163,EST
13165,EST
13167,EST
13169,EST
13171,EST
13173,EST
13175,EST
13177,EST
13179,EST
13181,EST
13183,EST
13185,EST
13187,EST
13189,EST
13191,EST
13193,EST
13195,EST
13197,EST
13199,EST
13201,EST
13205,EST
13207,EST
13209,EST
13211,EST
13213,EST
13215,EST
13217,EST
13219,EST
13221,EST
13223,EST
13225,EST
13227,EST
13229,EST
13231,EST
13233,EST
13235,EST
13237,EST
13239,EST
13241,EST
13243,EST
13245,EST
13247,EST
13249,EST
13251,EST
13253,EST
13255,EST
13257,EST
13259,EST
13261,EST
13263,EST
13265,EST
13267,EST
13269,EST
13271,EST
13273,EST
13275,EST
13277,EST
13279,EST
13281,EST
13283,EST
13285,EST
13287,EST
13289,EST
13291,EST
13293,EST
13295,EST
13297,EST
13299,EST
13301,EST
13303,EST
13305,EST
13307,EST
13309,EST
13311,EST
13313,EST
13315,EST
13317,EST
13319,EST
13321,EST
15001,HST
15003,HST
15005,HST
15007,HST
15009,HST
16001,MST
16003,MST
16005,MST
16007,MST
16009,PST
16011,MST
16013,MST
16015,MST
16017,PST
16019,MST
16021,PST
16023,MST
16025,MST
16027,MST
16029,MST
16031,MST
16033,MST
16035,PST
16037,MST
16039,MST
16041,MST
16043,MST
16045,MST
16047,MST
16049,PST
16051,MST
16053,MST
16055,PST
16057,PST
16059,MST
16061,PST
16063,MST
16065,MST
16067,MST
16069,PST
16071,MST
16073,MST
16075,MST
16077,MST
16079,PST
16081,MST
16083,MST
16085,MST
16087,MST
17001,CST
17003,CST
17005,CST
17007,CST
17009,CST
17011,CST
17013,CST
17015,CST
17017,CST
17019,CST
17021,CST
17023,CST
17025,CST
17027,CST
17029,CST
17031,CST
17033,CST
17035,CST
17037,CST
17039,CST
17041,CST
17043,CST
17045,CST
17047,CST
17049,CST
17051,CST
17053,CST
17055,CST
17057,CST
17059,CST
17061,CST
17063,CST
17065,CST
17067,CST
17069,CST
17071,CST
17073,CST
17075,CST
17077,CST
17079,CST
17081,CST
17083,CST
17085,CST
17087,CST
17089,CST
17091,CST
17093,CST
17095,CST
17097,CST
17099,CST
17101,CST
17103,CST
17105,CST
17107,CST
17109,CST
17111,CST
17113,CST
17115,CST
17117,CST
17119,CST
17121,CST
17123,CST
17125,CST
17127,CST
17129,CST
17131,CST
17133,CST
17135,CST
17137,CST
17139,CST
17141,CST
17143,CST
17145,CST
17147,CST
17149,CST
17151,CST
17153,CST
17155,CST
17157,CST
17159,CST
17161,CST
17163,CST
17165,CST
17167,CST
17169,CST
17171,CST
17173,CST
17175,CST
17177,CST
17179,CST
17181,CST
17183,CST
17185,CST
17187,CST
17189,CST
17191,CST
17193,CST
17195,CST
17197,CST
17199,CST
17201,CST
17203,CST
18001,EST
18003,EST
18005,EST
18007,EST
18009,EST
18011,EST
18013,EST
18015,EST
18017,EST
18019,EST
18021,EST
18023,EST
18025,EST
18027,EST
18029,EST
18031,EST
18033,EST
18035,EST
18037,EST
18039,EST
18041,EST
18043,EST
18045,EST
18047,EST
18049,EST
18051,CST
18053,EST
18055,EST
18057,EST
18059,EST
18061,EST
18063,EST
18065,EST
18067,EST
18069,EST
18071,EST
18073,CST
18075,EST
18077,EST
18079,EST
18081,EST
18083,EST
18085,EST
18087,EST
18089,CST
18091,CST
18093,EST
18095,EST
18097,EST
18099,EST
18101,EST
18103,EST
18105,EST
18107,EST
18109,EST
18111,CST
18113,EST
18115,EST
18117,EST
18119,EST
18121,EST
18123,CST
18125,EST
18127,CST
18129,CST
18131,EST
18133,EST
18135,EST
18137,EST
18139,EST
18141,EST
18143,EST
18145,EST
18147,CST
18149,CST
18151,EST
18153,EST
18155,EST
18157,EST
18159,EST
18161,EST
18163,CST
18165,EST
18167,EST
18169,EST
18171,EST
18173,CST
18175,EST
18177,EST
18179,EST
18181,EST
18183,EST
19001,CST
19003,CST
19005,CST
19007,CST
19009,CST
19011,CST
19013,CST
19015,CST
19017,CST
19019,CST
19021,CST
19023,CST
19025,CST
19027,CST
19029,CST
19031,CST
19033,CST
19035,CST
19037,CST
19039,CST
19041,CST
19043,CST
19045,CST
19047,CST
19049,CST
19051,CST
19053,CST
19055,CST
19057,CST
19059,CST
19061,CST
19063,CST
19065,CST
19067,CST
19069,CST
19071,CST
19073,CST
19075,CST
19077,CST
19079,CST
19081,CST
19083,CST
19085,CST
19087,CST
19089,CST
19091,CST
19093,CST
19095,CST
19097,CST
19099,CST
19101,CST
19103,CST
19105,CST
19107,CST
19109,CST
19111,CST
19113,CST
19115,CST
19117,CST
19119,CST
19121,CST
19123,CST
19125,CST
19127,CST
19129,CST
19131,CST
19133,CST
19135,CST
19137,CST
19139,CST
19141,CST
19143,CST
19145,CST
19147,CST
19149,CST
19151,CST
19153,CST
19155,CST
19157,CST
19159,CST
19161,CST
19163,CST
19165,CST
19167,CST
19169,CST
19171,CST
19173,CST
19175,CST
19177,CST
19179,CST
19181,CST
19183,CST
19185,CST
19187,CST
19189,CST
19191,CST
19193,CST
19195,CST
19197,CST
20001,CST
20003,CST
20005,CST
20007,CST
20009,CST
20011,CST
20013,CST
20015,CST
20017,CST
20019,CST
20021,CST
20023,CST
20025,CST
20027,CST
20029,CST
20031,CST
20033,CST
20035,CST
20037,CST
20039,CST
20041,CST
20043,CST
20045,CST
20047,CST
20049,CST
20051,CST
20053,CST
20055,CST
20057,CST
20059,CST
20061,CST
20063,CST
20065,CST
20067,CST
20069,CST
20071,MST
20073,CST
20075,MST
20077,CST
20079,CST
20081,CST
20083,CST
20085,CST
20087,CST
20089,CST
20091,CST
20093,CST
20095,CST
20097,CST
20099,CST
20101,CST
20103,CST
20105,CST
20107,CST
20109,CST
20111,CST
20113,CST
20115,CST
20117,CST
20119,CST
20121,CST
20123,CST
20125,CST
20127,CST
20129,CST
20131,CST
20133,CST
20135,CST
20137,CST
20139,CST
20141,CST
20143,CST
20145,CST
20147,CST
20149,CST
20151,CST
20153,CST
20155,CST
20157,CST
20159,CST
20161,CST
20163,CST
20165,CST
20167,CST
20169,CST
20171,CST
20173,CST
20175,CST
20177,CST
20179,CST
20181,MST
20183,CST
20185,CST
20187,CST
20189,CST
20191,CST
20193,CST
20195,CST
20197,CST
20199,MST
20201,CST
20203,CST
20205,CST
20207,CST
20209,CST
21001,CST
21003,CST
21005,EST
21007,CST
21009,CST
21011,EST
21013,EST
21015,EST
21017,EST
21019,EST
21021,EST
21023,EST
21025,EST
21027,CST
21029,EST
21031,CST
21033,CST
21035,CST
21037,EST
21039,CST
21041,EST
21043,EST
21045,EST
21047,CST
21049,EST
21051,EST
21053,CST
21055,CST
21057,CST
21059,CST
21061,CST
21063,EST
21065,EST
21067,EST
21069,EST
21071,EST
21073,EST
21075,CST
21077,EST
21079,EST
21081,EST
21083,CST
21085,CST
21087,CST
21089,EST
21091,CST
21093,EST
21095,EST
21097,EST
21099,CST
21101,CST
21103,EST
21105,CST
21107,CST
21109,EST
21111,EST
21113,EST
21115,EST
21117,EST
21119,EST
21121,EST
21123,EST
21125,EST
21127,EST
21129,EST
21131,EST
21133,EST
21135,EST
21137,EST
21139,CST
21141,CST
21143,CST
21145,CST
21147,EST
21149,CST
21151,EST
21153,EST
21155,EST
21157,CST
21159,EST
21161,EST
21163,EST
21165,EST
21167,EST
21169,CST
21171,CST
21173,EST
21175,EST
21177,CST
21179,EST
21181,EST
21183,CST
21185,EST
21187,EST
21189,EST
21191,EST
21193,EST
21195,EST
21197,EST
21199,EST
21201,EST
21203,EST
21205,EST
21207,CST
21209,EST
21211,EST
21213,CST
21215,EST
21217,EST
21219,CST
21221,CST
21223,EST
21225,CST
21227,CST
21229,EST
21231,EST
21233,CST
21235,EST
21237,EST
21239,EST
22001,CST
22003,CST
22005,CST
22007,CST
22009,CST
22011,CST
22013,CST
22015,CST
22017,CST
22019,CST
22021,CST
22023,CST
22025,CST
22027,CST
22029,CST
22031,CST
22033,CST
22035,CST
22037,CST
22039,CST
22041,CST
22043,CST
22045,CST
22047,CST
22049,CST
22051,CST
22053,CST
22055,CST
22057,CST
22059,CST
22061,CST
22063,CST
22065,CST
22067,CST
22069,CST
22071,CST
22073,CST
22075,CST
22077,CST
22079,CST
22081,CST
22083,CST
22085,CST
22087,CST
22089,CST
22091,CST
