from_id,to_id
2012-01-01,weekend
2012-01-02,weekday
2012-01-03,weekday
2012-01-04,weekday
2012-01-05,weekday
2012-01-06,weekday
2012-01-07,weekend
2012-01-08,weekend
2012-01-09,weekday
2012-01-10,weekday
2012-01-11,weekday
2012-01-12,weekday
2012-01-13,weekday
2012-01-14,weekend
2012-01-15,weekend
2012-01-16,weekday
2012-01-17,weekday
2012-01-18,weekday
2012-01-19,weekday
2012-01-20,weekday
2012-01-21,weekend
2012-01-22,weekend
2012-01-23,weekday
2012-01-24,weekday
2012-01-25,weekday
2012-01-26,weekday
2012-01-27,weekday
2012-01-28,weekend
2012-01-29,weekend
2012-01-30,weekday
2012-01-31,weekday
2012-02-01,weekday
2012-02-02,weekday
2012-02-03,weekday
2012-02-04,weekend
2012-02-05,weekend
2012-02-06,weekday
2012-02-07,weekday
2012-02-08,weekday
2012-02-09,weekday
2012-02-10,weekday
2012-02-11,weekend
2012-02-12,weekend
2012-02-13,weekday
2012-02-14,weekday
2012-02-15,weekday
2012-02-16,weekday
2012-02-17,weekday
2012-02-18,weekend
2012-02-19,weekend
2012-02-20,weekday
2012-02-21,weekday
2012-02-22,weekday
2012-02-23,weekday
2012-02-24,weekday
2012-02-25,weekend
2012-02-26,weekend
2012-02-27,weekday
2012-02-28,weekday
2012-02-29,weekday
2012-03-01,weekday
2012-03-02,weekday
2012-03-03,weekend
2012-03-04,weekend
2012-03-05,weekday
2012-03-06,weekday
2012-03-07,weekday
2012-03-08,weekday
2012-03-09,weekday
2012-03-10,weekend
2012-03-11,weekend
2012-03-12,weekday
2012-03-13,weekday
2012-03-14,weekday
2012-03-15,weekday
2012-03-16,weekday
2012-03-17,weekend
2012-03-18,weekend
2012-03-19,weekday
2012-03-20,weekday
2012-03-21,weekday
2012-03-22,weekday
2012-03-23,weekday
2012-03-24,weekend
2012-03-25,weekend
2012-03-26,weekday
2012-03-27,weekday
2012-03-28,weekday
2012-03-29,weekday
2012-03-30,weekday
2012-03-31,weekend
2012-04-01,weekend
2012-04-02,weekday
2012-04-03,weekday
2012-04-04,weekday
2012-04-05,weekday
2012-04-06,weekday
2012-04-07,weekend
2012-04-08,weekend
2012-04-09,weekday
2012-04-10,weekday
2012-04-11,weekday
2012-04-12,weekday
2012-04-13,weekday
2012-04-14,weekend
2012-04-15,weekend
2012-04-16,weekday
2012-04-17,weekday
2012-04-18,weekday
2012-04-19,weekday
2012-04-20,weekday
2012-04-21,weekend
2012-04-22,weekend
2012-04-23,weekday
2012-04-24,weekday
2012-04-25,weekday
2012-04-26,weekday
2012-04-27,weekday
2012-04-28,weekend
2012-04-29,weekend
2012-04-30,weekday
2012-05-01,weekday
2012-05-02,weekday
2012-05-03,weekday
2012-05-04,weekday
2012-05-05,weekend
2012-05-06,weekend
2012-05-07,weekday
2012-05-08,weekday
2012-05-09,weekday
2012-05-10,weekday
2012-05-11,weekday
2012-05-12,weekend
2012-05-13,weekend
