from_id,to_id
2012-01-01,winter
2012-01-02,winter
2012-01-03,winter
2012-01-04,winter
2012-01-05,winter
2012-01-06,winter
2012-01-07,winter
2012-01-08,winter
2012-01-09,winter
2012-01-10,winter
2012-01-11,winter
2012-01-12,winter
2012-01-13,winter
2012-01-14,winter
2012-01-15,winter
2012-01-16,winter
2012-01-17,winter
2012-01-18,winter
2012-01-19,winter
2012-01-20,winter
2012-01-21,winter
2012-01-22,winter
2012-01-23,winter
2012-01-24,winter
2012-01-25,winter
2012-01-26,winter
2012-01-27,winter
2012-01-28,winter
2012-01-29,winter
2012-01-30,winter
2012-01-31,winter
2012-02-01,winter
2012-02-02,winter
2012-02-03,winter
2012-02-04,winter
2012-02-05,winter
2012-02-06,winter
2012-02-07,winter
2012-02-08,winter
2012-02-09,winter
2012-02-10,winter
2012-02-11,winter
2012-02-12,winter
2012-02-13,winter
2012-02-14,winter
2012-02-15,winter
2012-02-16,winter
2012-02-17,winter
2012-02-18,winter
2012-02-19,winter
2012-02-20,winter
2012-02-21,winter
2012-02-22,winter
2012-02-23,winter
2012-02-24,winter
2012-02-25,winter
2012-02-26,winter
2012-02-27,winter
2012-02-28,winter
2012-02-29,winter
2012-03-01,winter
2012-03-02,winter
2012-03-03,winter
2012-03-04,winter
2012-03-05,winter
2012-03-06,winter
2012-03-07,winter
2012-03-08,winter
2012-03-09,winter
2012-03-10,winter
2012-03-11,winter
2012-03-12,winter
2012-03-13,winter
2012-03-14,winter
2012-03-15,winter
2012-03-16,winter
2012-03-17,winter
2012-03-18,winter
2012-03-19,winter
2012-03-20,spring
2012-03-21,spring
2012-03-22,spring
2012-03-23,spring
2012-03-24,spring
2012-03-25,spring
2012-03-26,spring
2012-03-27,spring
2012-03-28,spring
2012-03-29,spring
2012-03-30,spring
2012-03-31,spring
2012-04-01,spring
2012-04-02,spring
2012-04-03,spring
2012-04-04,spring
2012-04-05,spring
2012-04-06,spring
2012-04-07,spring
2012-04-08,spring
2012-04-09,spring
2012-04-10,spring
2012-04-11,spring
2012-04-12,spring
2012-04-13,spring
2012-04-14,spring
2012-04-15,spring
2012-04-16,spring
2012-04-17,spring
2012-04-18,spring
2012-04-19,spring
2012-04-20,spring
2012-04-21,spring
2012-04-22,spring
2012-04-23,spring
2012-04-24,spring
2012-04-25,spring
2012-04-26,spring
2012-04-27,spring
2012-04-28,spring
2012-04-29,spring
2012-04-30,spring
2012-05-01,spring
2012-05-02,spring
2012-05-03,spring
2012-05-04,spring
2012-05-05,spring
2012-05-06,spring
2012-05-07,spring
2012-05-08,spring
2012-05-09,spring
2012-05-10,spring
2012-05-11,spring
2012-05-12,spring
2012-05-13,spring
2012-05-14,spring
2012-05-15,spring
2012-05-16,spring
2012-05-17,spring
2012-05-18,spring
2012-05-19,spring
2012-05-20,spring
2012-05-21,spring
2012-05-22,spring
2012-05-23,spring
2012-05-24,spring
2012-05-25,spring
2012-05-26,spring
2012-05-27,spring
2012-05-28,spring
2012-05-29,spring
2012-05-30,spring
2012-05-31,spring
2012-06-01,spring
2012-06-02,spring
2012-06-03,spring
2012-06-04,spring
2012-06-05,spring
2012-06-06,spring
2012-06-07,spring
2012-06-08,spring
2012-06-09,spring
2012-06-10,spring
2012-06-11,spring
2012-06-12,spring
2012-06-13,spring
2012-06-14,spring
2012-06-15,spring
2012-06-16,spring
2012-06-17,spring
2012-06-18,spring
2012-06-19,spring
2012-06-20,summer
2012-06-21,summer
2012-06-22,summer
2012-06-23,summer
2012-06-24,summer
2012-06-25,summer
2012-06-26,summer
2012-06-27,summer
2012-06-28,summer
2012-06-29,summer
2012-06-30,summer
2012-07-01,summer
2012-07-02,summer
2012-07-03,summer
2012-07-04,summer
2012-07-05,summer
2012-07-06,summer
2012-07-07,summer
2012-07-08,summer
2012-07-09,summer
2012-07-10,summer
2012-07-11,summer
2012-07-12,summer
2012-07-13,summer
2012-07-14,summer
2012-07-15,summer
2012-07-16,summer
2012-07-17,summer
2012-07-18,summer
2012-07-19,summer
2012-07-20,summer
2012-07-21,summer
2012-07-22,summer
2012-07-23,summer
2012-07-24,summer
2012-07-25,summer
2012-07-26,summer
2012-07-27,summer
2012-07-28,summer
2012-07-29,summer
2012-07-30,summer
2012-07-31,summer
2012-08-01,summer
2012-08-02,summer
2012-08-03,summer
2012-08-04,summer
2012-08-05,summer
2012-08-06,summer
2012-08-07,summer
2012-08-08,summer
2012-08-09,summer
2012-08-10,summer
2012-08-11,summer
2012-08-12,summer
2012-08-13,summer
2012-08-14,summer
2012-08-15,summer
2012-08-16,summer
2012-08-17,summer
2012-08-18,summer
2012-08-19,summer
2012-08-20,summer
2012-08-21,summer
2012-08-22,summer
2012-08-23,summer
2012-08-24,summer
2012-08-25,summer
2012-08-26,summer
2012-08-27,summer
2012-08-28,summer
2012-08-29,summer
2012-08-30,summer
2012-08-31,summer
2012-09-01,summer
2012-09-02,summer
2012-09-03,summer
2012-09-04,summer
2012-09-05,summer
2012-09-06,summer
2012-09-07,summer
2012-09-08,summer
2012-09-09,summer
2012-09-10,summer
2012-09-11,summer
2012-09-12,summer
2012-09-13,summer
2012-09-14,summer
2012-09-15,summer
2012-09-16,summer
2012-09-17,summer
2012-09-18,summer
2012-09-19,summer
2012-09-20,summer
2012-09-21,summer
2012-09-22,autumn
2012-09-23,autumn
2012-09-24,autumn
2012-09-25,autumn
2012-09-26,autumn
2012-09-27,autumn
2012-09-28,autumn
2012-09-29,autumn
2012-09-30,autumn
2012-10-01,autumn
2012-10-02,autumn
2012-10-03,autumn
2012-10-04,autumn
2012-10-05,autumn
2012-10-06,autumn
2012-10-07,autumn
2012-10-08,autumn
2012-10-09,autumn
2012-10-10,autumn
2012-10-11,autumn
2012-10-12,autumn
2012-10-13,autumn
2012-10-14,autumn
2012-10-15,autumn
2012-10-16,autumn
2012-10-17,autumn
2012-10-18,autumn
2012-10-19,autumn
2012-10-20,autumn
2012-10-21,autumn
2012-10-22,autumn
2012-10-23,autumn
2012-10-24,autumn
2012-10-25,autumn
2012-10-26,autumn
2012-10-27,autumn
2012-10-28,autumn
2012-10-29,autumn
2012-10-30,autumn
2012-10-31,autumn
2012-11-01,autumn
2012-11-02,autumn
2012-11-03,autumn
2012-11-04,autumn
2012-11-05,autumn
2012-11-06,autumn
2012-11-07,autumn
2012-11-08,autumn
2012-11-09,autumn
2012-11-10,autumn
2012-11-11,autumn
2012-11-12,autumn
2012-11-13,autumn
2012-11-14,autumn
2012-11-15,autumn
2012-11-16,autumn
2012-11-17,autumn
2012-11-18,autumn
2012-11-19,autumn
2012-11-20,autumn
2012-11-21,autumn
2012-11-22,autumn
2012-11-23,autumn
2012-11-24,autumn
2012-11-25,autumn
2012-11-26,autumn
2012-11-27,autumn
2012-11-28,autumn
2012-11-29,autumn
2012-11-30,autumn
2012-12-01,autumn
2012-12-02,autumn
2012-12-03,autumn
2012-12-04,autumn
2012-12-05,autumn
2012-12-06,autumn
2012-12-07,autumn
2012-12-08,autumn
2012-12-09,autumn
2012-12-10,autumn
2012-12-11,autumn
2012-12-12,autumn
2012-12-13,autumn
2012-12-14,autumn
2012-12-15,autumn
2012-12-16,autumn
2012-12-17,autumn
2012-12-18,autumn
2012-12-19,autumn
2012-12-20,autumn
2012-12-21,winter
2012-12-22,winter
2012-12-23,winter
2012-12-24,winter
2012-12-25,winter
2012-12-26,winter
2012-12-27,winter
2012-12-28,winter
2012-12-29,winter
2012-12-30,winter
2012-12-31,winter
