from_id,to_id
2012-01-01,week_1
2012-01-02,week_1
2012-01-03,week_1
2012-01-04,week_1
2012-01-05,week_1
2012-01-06,week_1
2012-01-07,week_1
2012-01-08,week_2
2012-01-09,week_2
2012-01-10,week_2
2012-01-11,week_2
2012-01-12,week_2
2012-01-13,week_2
2012-01-14,week_2
2012-01-15,week_3
2012-01-16,week_3
2012-01-17,week_3
2012-01-18,week_3
2012-01-19,week_3
2012-01-20,week_3
2012-01-21,week_3
2012-01-22,week_4
2012-01-23,week_4
2012-01-24,week_4
2012-01-25,week_4
2012-01-26,week_4
2012-01-27,week_4
2012-01-28,week_4
2012-01-29,week_5
2012-01-30,week_5
2012-01-31,week_5
2012-02-01,week_5
2012-02-02,week_5
2012-02-03,week_5
2012-02-04,week_5
2012-02-05,week_6
2012-02-06,week_6
2012-02-07,week_6
2012-02-08,week_6
2012-02-09,week_6
2012-02-10,week_6
2012-02-11,week_6
2012-02-12,week_7
2012-02-13,week_7
2012-02-14,week_7
2012-02-15,week_7
2012-02-16,week_7
2012-02-17,week_7
2012-02-18,week_7
2012-02-19,week_8
2012-02-20,week_8
2012-02-21,week_8
2012-02-22,week_8
2012-02-23,week_8
2012-02-24,week_8
2012-02-25,week_8
2012-02-26,week_9
2012-02-27,week_9
2012-02-28,week_9
2012-02-29,week_9
2012-03-01,week_9
2012-03-02,week_9
2012-03-03,week_9
2012-03-04,week_10
2012-03-05,week_10
2012-03-06,week_10
2012-03-07,week_10
2012-03-08,week_10
2012-03-09,week_10
2012-03-10,week_10
2012-03-11,week_11
2012-03-12,week_11
2012-03-13,week_11
2012-03-14,week_11
2012-03-15,week_11
2012-03-16,week_11
2012-03-17,week_11
2012-03-18,week_12
2012-03-19,week_12
2012-03-20,week_12
2012-03-21,week_12
2012-03-22,week_12
2012-03-23,week_12
2012-03-24,week_12
2012-03-25,week_13
2012-03-26,week_13
2012-03-27,week_13
2012-03-28,week_13
2012-03-29,week_13
2012-03-30,week_13
2012-03-31,week_13
2012-04-01,week_14
2012-04-02,week_14
2012-04-03,week_14
2012-04-04,week_14
2012-04-05,week_14
2012-04-06,week_14
2012-04-07,week_14
2012-04-08,week_15
2012-04-09,week_15
2012-04-10,week_15
2012-04-11,week_15
2012-04-12,week_15
2012-04-13,week_15
2012-04-14,week_15
2012-04-15,week_16
2012-04-16,week_16
2012-04-17,week_16
2012-04-18,week_16
2012-04-19,week_16
2012-04-20,week_16
2012-04-21,week_16
2012-04-22,week_17
2012-04-23,week_17
2012-04-24,week_17
2012-04-25,week_17
2012-04-26,week_17
2012-04-27,week_17
2012-04-28,week_17
2012-04-29,week_18
2012-04-30,week_18
2012-05-01,week_18
2012-05-02,week_18
2012-05-03,week_18
2012-05-04,week_18
2012-05-05,week_18
2012-05-06,week_19
2012-05-07,week_19
2012-05-08,week_19
2012-05-09,week_19
2012-05-10,week_19
2012-05-11,week_19
2012-05-12,week_19
2012-05-13,week_20
2012-05-14,week_20
2012-05-15,week_20
2012-05-16,week_20
2012-05-17,week_20
2012-05-18,week_20
2012-05-19,week_20
2012-05-20,week_21
2012-05-21,week_21
2012-05-22,week_21
2012-05-23,week_21
2012-05-24,week_21
2012-05-25,week_21
2012-05-26,week_21
2012-05-27,week_22
2012-05-28,week_22
2012-05-29,week_22
2012-05-30,week_22
2012-05-31,week_22
2012-06-01,week_22
2012-06-02,week_22
2012-06-03,week_23
2012-06-04,week_23
2012-06-05,week_23
2012-06-06,week_23
2012-06-07,week_23
2012-06-08,week_23
2012-06-09,week_23
2012-06-10,week_24
2012-06-11,week_24
2012-06-12,week_24
2012-06-13,week_24
2012-06-14,week_24
2012-06-15,week_24
2012-06-16,week_24
2012-06-17,week_25
2012-06-18,week_25
2012-06-19,week_25
2012-06-20,week_25
2012-06-21,week_25
2012-06-22,week_25
2012-06-23,week_25
2012-06-24,week_26
2012-06-25,week_26
2012-06-26,week_26
2012-06-27,week_26
2012-06-28,week_26
2012-06-29,week_26
2012-06-30,week_26
2012-07-01,week_27
2012-07-02,week_27
2012-07-03,week_27
2012-07-04,week_27
2012-07-05,week_27
2012-07-06,week_27
2012-07-07,week_27
2012-07-08,week_28
2012-07-09,week_28
2012-07-10,week_28
2012-07-11,week_28
2012-07-12,week_28
2012-07-13,week_28
2012-07-14,week_28
2012-07-15,week_29
2012-07-16,week_29
2012-07-17,week_29
2012-07-18,week_29
2012-07-19,week_29
2012-07-20,week_29
2012-07-21,week_29
2012-07-22,week_30
2012-07-23,week_30
2012-07-24,week_30
2012-07-25,week_30
2012-07-26,week_30
