from_id,to_id
AL_FL_GA_MS,AL
AL_FL_GA_MS,FL
AL_FL_GA_MS,GA
AL_FL_GA_MS,MS
AR_MO_TN,AR
AR_MO_TN,MO
AR_MO_TN,TN
AZ_NM,AZ
AZ_NM,NM
CA_NV,CA
CA_NV,NV
CO_MT_UT_WY,CO
CO_MT_UT_WY,MT
CO_MT_UT_WY,UT
CO_MT_UT_WY,WY
CT_MA_RI,CT
CT_MA_RI,MA
CT_MA_RI,RI
DC_MD,DC
DC_MD,MD
DE_NJ,DE
DE_NJ,NJ
IA_IL_IN_WI,IA
IA_IL_IN_WI,IL
IA_IL_IN_WI,IN
IA_IL_IN_WI,WI
ID_OR_WA,ID
ID_OR_WA,OR
ID_OR_WA,WA
KS_NE_SD,KS
KS_NE_SD,NE
KS_NE_SD,SD
KY_WV,KY
KY_WV,WV
LA,LA
ME_NH_VT,ME
ME_NH_VT,NH
ME_NH_VT,VT
MI,MI
MN_ND,MN
MN_ND,ND
NC,NC
NY,NY
OH,OH
OK,OK
PA,PA
SC,SC
TX,TX
VA,VA
