from_id,to_id
Al_KY_MS,AL
Al_KY_MS,KY
Al_KY_MS,MS
AK_HI_OR_WA,AK
AK_HI_OR_WA,HI
AK_HI_OR_WA,OR
AK_HI_OR_WA,WA
AZ,AZ
AR_LA_OK,AR
AR_LA_OK,LA
AR_LA_OK,OK
CA,CA
CO,CO
CT_ME_NH_RI_VT,CT
CT_ME_NH_RI_VT,ME
CT_ME_NH_RI_VT,NH
CT_ME_NH_RI_VT,RI
CT_ME_NH_RI_VT,VT
DE_DC_MD_WV,DE
DE_DC_MD_WV,DC
DE_DC_MD_WV,MD
DE_DC_MD_WV,WV
FL,FL
GA,GA
ID_MT_UT_WY,ID
ID_MT_UT_WY,MT
ID_MT_UT_WY,UT
ID_MT_UT_WY,WY
IL,IL
IN_OH,IN
IN_OH,OH
IA_MN_ND_SD,IA
IA_MN_ND_SD,MN
IA_MN_ND_SD,ND
IA_MN_ND_SD,SD
KS_NE,KS
KS_NE,NE
MA,MA
MI,MI
MO,MO
NV_NM,NV
NV_NM,NM
NJ,NJ
NY,NY
NC_SC,NC
NC_SC,SC
PA,PA
TN,TN
TX,TX
VA,VA
WI,WI
