from_id,to_id
IN,east_north_central
IL,east_north_central
MI,east_north_central
OH,east_north_central
WI,east_north_central
AL,east_south_central
KY,east_south_central
MS,east_south_central
TN,east_south_central
NJ,mid_atlantic
NY,mid_atlantic
PA,mid_atlantic
AZ,mountain
CO,mountain
ID,mountain
NM,mountain
MT,mountain
UT,mountain
NV,mountain
WY,mountain
CT,new_england
ME,new_england
MA,new_england
NH,new_england
RI,new_england
VT,new_england
CA,pacific
OR,pacific
WA,pacific
DE,south_atlantic
DC,south_atlantic
FL,south_atlantic
GA,south_atlantic
MD,south_atlantic
NC,south_atlantic
SC,south_atlantic
VA,south_atlantic
WV,south_atlantic
IA,west_north_central
KS,west_north_central
MN,west_north_central
MO,west_north_central
NE,west_north_central
ND,west_north_central
SD,west_north_central
AR,west_south_central
LA,west_south_central
OK,west_south_central
TX,west_south_central
