from_id,to_id
AL,AL_FL_GA
AR,AR_LA_MO
AZ,AZ_NV_UT
CA,CA
CO,CO_NM
CT,CT_MA_RI
DC,DC_MD_VA
DE,DE
FL,AL_FL_GA
GA,AL_FL_GA
IA,IA_IL_IN_MI_MN
ID,ID_MT_WY
IL,IA_IL_IN_MI_MN
IN,IA_IL_IN_MI_MN
KS,KS
KY,KY_OH_WV
LA,AR_LA_MO
MA,CT_MA_RI
MD,DC_MD_VA
ME,ME_NH_VT
MI,IA_IL_IN_MI_MN
MN,IA_IL_IN_MI_MN
MO,AR_LA_MO
MS,MS
MT,ID_MT_WY
NC,NC
ND,ND_NE_SD
NE,ND_NE_SD
NH,ME_NH_VT
NJ,NJ
NM,CO_NM
NV,AZ_NV_UT
NY,NY
OH,KY_OH_WV
OK,OK
OR,OR_WA
PA,PA
RI,CT_MA_RI
SC,SC
SD,ND_NE_SD
TN,TN
TX,TX
UT,AZ_NV_UT
VA,DC_MD_VA
VT,ME_NH_VT
WA,OR_WA
WI,WI
WV,KY_OH_WV
WY,ID_MT_WY
